I liked the aluminum body.	aluminum body	2
Lightweight and the screen is beautiful!	screen	2
From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.	build quality	0
From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.	performance	0
It was truly a great computer costing less than one thousand bucks before tax.	costing	2
Boots up fast and runs great!	Boots up	2
Boots up fast and runs great!	runs	2
Call tech support, standard email the form and fax it back in to us.	tech support	1
The service I received from Toshiba went above and beyond the call of duty.	service	2
I would recommend it just because of the internet speed probably because thats the only thing i really care about.	internet speed	2
The screen shows great colors.	screen	2
The battery life has not decreased since I bought it, so i'm thrilled with that.	battery life	2
The price and features more than met my needs.	price	2
The price and features more than met my needs.	features	2
the mouse buttons are hard to push.	mouse buttons	0
This is the complete opposite to an ergonomic design.	design	0
The technical service for dell is so 3rd world it might as well not even bother.	technical service	0
The built in camera is very useful when chatting with other techs in remote buildings on our campus.	built in camera	2
Keyboard good sized and wasy to use.	Keyboard	2
Great wifi too.	wifi	2
Games being the main issue.	Games	0
The price is another driving influence that made me purchase this laptop.	price	2
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.	price tag	0
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.	software	2
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.	updates	2
It's a great product for a great price!	price	2
Excellent speed for processing data.	speed	2
The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.	twin packing	2
The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.	functions	2
The switchable graphic card is pretty sweet when you want gaming on the laptop.	switchable graphic card	2
The switchable graphic card is pretty sweet when you want gaming on the laptop.	gaming	1
I would like at least a 4 hr. battery life.	battery life	1
It has good speed and plenty of hard drive space.	speed	2
It has good speed and plenty of hard drive space.	hard drive space	2
The driver updates don't fix the issue, very frustrating.	driver updates	0
Im glad that it has such great features in it.	features	2
I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.	performance	2
My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.	GarageBand	1
and looks very sexyy:D really the mac book pro is the best laptop specially for students in college if you are not caring about price.	price	0
Also, the extended warranty was a problem.	extended warranty	0
My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.	support	0
I also liked the glass screen.	glass screen	2
When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.	technical support	0
(Beware, their staff could send you back making you feel that only they know what a computer is.	staff	0
The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.	programs	0
Wireless has not been a issue for me, like some others have meantioned.	Wireless	2
MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.	battery life	0
MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.	background programs	0
All for such a great price.	price	2
All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!	appetizers	2
All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!	salads	2
All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!	steak	2
All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!	pasta	2
And really large portions.	portions	2
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.	sweet lassi	2
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.	lamb chettinad	2
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.	garlic naan	2
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.	rasamalai	0
Service was quick.	Service	2
Oh, don't even let me start with how expensive the bills were!	bills	0
Service is top notch.	Service	2
The best thing I tasted were the lambc hops.	lambc hops	2
Even though its good seafood, the prices are too high.	seafood	2
Even though its good seafood, the prices are too high.	prices	0
In addition, the food is very good and the prices are reasonable.	food	2
In addition, the food is very good and the prices are reasonable.	prices	2
